Time_Point_(Week#),Media_type,Flow_type,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB,488nm_VF_FL
7,10%CS,150,1,0.650,0.306,0.532,"313,785"
0,Std,0,1,0.200,0.200,0.120,"204,800"
0,Std,50,1,0.440,0.440,0.330,"450,560"
0,Std,100,1,0.180,0.180,0.140,"184,320"
0,Std,150,1,0.080,0.080,0.170,"81,920"
1,Std,0,1,0.240,0.069,0.239,"70,256"
1,Std,50,1,0.360,0.215,0.731,"220,362"
1,Std,100,1,0.380,0.266,0.357,"272,799"
1,Std,150,1,0.340,0.209,0.838,"214,315"
2,Std,0,1,0.220,0.176,0.365,"180,313"
2,Std,50,1,0.380,0.219,0.616,"224,279"
2,Std,100,1,0.360,0.357,0.544,"365,855"
2,Std,150,1,0.360,0.351,0.785,"359,188"
3,Std,0,1,0.380,0.179,0.436,"183,122"
3,Std,50,1,0.580,0.400,0.722,"409,588"
3,Std,100,1,0.520,0.595,0.567,"609,405"
3,Std,150,1,0.480,0.352,0.685,"360,464"
4,Std,0,1,0.300,0.277,0.851,"283,215"
4,Std,50,1,0.730,0.531,0.961,"543,472"
4,Std,100,1,0.660,0.487,1.080,"499,053"
4,Std,150,1,0.590,0.439,0.648,"449,166"
5,Std,0,1,0.280,0.236,0.742,"241,411"
5,Std,50,1,0.620,0.289,0.717,"295,935"
5,Std,100,1,0.390,0.324,1.055,"332,144"
5,Std,150,1,0.350,0.390,0.411,"398,966"
6,Std,0,1,0.190,0.291,0.432,"297,705"
6,Std,50,1,0.380,0.276,0.750,"282,692"
6,Std,100,1,0.440,0.237,1.199,"243,041"
6,Std,150,1,0.470,0.428,0.613,"438,243"
7,Std,0,1,0.060,0.125,0.081,"128,476"
7,Std,50,1,0.460,0.164,0.435,"168,171"
7,Std,100,1,0.520,0.318,0.933,"325,880"
7,Std,150,1,0.520,0.504,0.545,"516,567"
