Time_Point_(Week#),Media_type,Flow_type,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB,488nm_VF_FL
2,Std,0,1,0.220,0.177,0.446,"181,187"
2,Std,50,1,0.370,0.198,0.954,"202,342"
2,Std,100,1,0.370,0.297,0.308,"304,077"
2,Std,150,1,0.330,0.152,0.598,"155,622"
3,Std,0,1,0.300,0.262,0.269,"268,517"
3,Std,50,1,0.580,0.385,0.699,"394,086"
3,Std,100,1,0.480,0.355,0.127,"363,387"
3,Std,150,1,0.380,0.388,0.446,"397,517"
4,Std,0,1,0.350,0.310,0.163,"317,095"
4,Std,50,1,0.710,0.483,0.904,"494,362"
4,Std,100,1,0.650,0.462,1.006,"472,893"
4,Std,150,1,0.640,0.363,0.396,"371,379"
5,Std,0,1,0.260,0.312,0.088,"319,557"
5,Std,50,1,0.380,0.409,0.643,"418,970"
5,Std,100,1,0.610,0.597,0.621,"611,072"
5,Std,150,1,0.620,0.446,0.356,"457,062"
6,Std,0,1,0.180,0.226,0.071,"231,213"
6,Std,50,1,0.320,0.241,0.662,"246,400"
6,Std,100,1,0.410,0.432,0.825,"441,864"
6,Std,150,1,0.590,0.328,0.557,"335,360"
7,Std,0,1,0.220,0.167,0.000,"170,897"
7,Std,50,1,0.420,0.198,0.456,"202,394"
7,Std,100,1,0.180,0.396,0.850,"405,988"
7,Std,150,1,0.640,0.295,0.471,"302,541"
1,Std,0,0,0.200,0.076,0.216,"77,760"
1,Std,50,0,0.360,0.177,0.727,"181,325"
1,Std,100,0,0.240,0.402,0.281,"411,479"
1,Std,150,0,0.220,0.302,0.692,"309,734"
2,Std,0,0,0.310,0.160,0.729,"163,840"
2,Std,50,0,0.380,0.380,0.974,"389,120"
2,Std,100,0,0.330,0.140,0.398,"143,360"
2,Std,150,0,0.350,0.100,0.759,"102,400"
3,Std,0,0,0.300,0.067,0.581,"68,642"
3,Std,50,0,0.590,0.211,0.775,"216,435"
3,Std,100,0,0.330,0.219,0.440,"224,026"
3,Std,150,0,0.350,0.207,0.543,"212,224"
4,Std,0,0,0.290,0.155,0.420,"158,405"
4,Std,50,0,0.710,0.212,0.958,"217,280"
4,Std,100,0,0.580,0.251,1.068,"256,896"
4,Std,150,0,0.610,0.339,0.432,"346,726"
5,Std,0,0,0.270,0.169,0.128,"172,645"
5,Std,50,0,0.610,0.389,0.645,"398,515"
5,Std,100,0,0.420,0.371,0.671,"380,311"
5,Std,150,0,0.370,0.344,0.381,"352,333"
6,Std,0,0,0.200,0.245,0.168,"250,837"
6,Std,50,0,0.420,0.520,0.678,"532,710"
6,Std,100,0,0.480,0.457,0.838,"467,597"
6,Std,150,0,0.420,0.419,0.574,"429,414"
7,Std,0,0,0.140,0.216,0.047,"220,774"
7,Std,50,0,0.250,0.288,0.463,"295,296"
7,Std,100,0,0.420,0.299,0.941,"306,566"
7,Std,150,0,0.420,0.377,0.495,"385,690"
1,10%CS,0,0,0.370,0.207,0.290,"211,780"
1,10%CS,50,0,0.400,0.268,0.195,"274,458"
1,10%CS,100,0,0.330,0.231,0.312,"236,178"
1,10%CS,150,0,0.300,0.420,0.290,"429,645"
2,10%CS,0,0,0.460,0.080,0.268,"82,391"
2,10%CS,50,0,0.500,0.161,0.144,"164,659"
2,10%CS,100,0,0.440,0.240,0.363,"245,476"
2,10%CS,150,0,0.420,0.493,0.736,"504,704"
3,10%CS,0,0,0.480,0.180,0.637,"184,320"
3,10%CS,50,0,0.680,0.080,0.092,"81,920"
3,10%CS,100,0,0.520,0.090,0.480,"92,160"
3,10%CS,150,0,0.480,0.090,0.601,"92,160"
4,10%CS,0,0,0.380,0.220,0.695,"225,280"
4,10%CS,50,0,0.440,0.110,0.956,"112,640"
4,10%CS,100,0,0.630,0.120,1.073,"122,880"
4,10%CS,150,0,0.610,0.150,0.690,"153,600"
5,10%CS,0,0,0.180,0.290,0.313,"296,960"
5,10%CS,50,0,0.350,0.240,0.350,"245,760"
5,10%CS,100,0,0.660,0.420,1.011,"430,080"
5,10%CS,150,0,0.490,0.390,0.512,"399,360"
6,10%CS,0,0,0.180,0.330,0.163,"337,920"
6,10%CS,50,0,0.230,0.830,0.612,"849,920"
6,10%CS,100,0,0.580,0.340,0.909,"348,160"
6,10%CS,150,0,0.370,0.400,0.672,"409,600"
7,10%CS,0,0,0.130,0.390,0.105,"399,360"
7,10%CS,50,0,0.190,0.780,0.578,"798,720"
7,10%CS,100,0,0.380,0.600,0.743,"614,400"
7,10%CS,150,0,0.180,0.480,0.607,"491,520"
1,Std,0,0,0.180,0.270,0.109,"276,480"
1,Std,50,0,0.300,0.540,0.678,"552,960"
1,Std,100,0,0.280,0.510,0.203,"522,240"
1,Std,150,0,0.260,0.610,0.654,"624,640"
2,Std,0,0,0.280,0.280,0.561,"286,720"
2,Std,50,0,0.440,0.670,1.063,"686,080"
2,Std,100,0,0.400,0.450,0.332,"460,800"
2,Std,150,0,0.370,0.430,0.680,"440,320"
3,Std,0,0,0.280,0.180,0.403,"184,320"
3,Std,50,0,0.520,0.100,0.750,"102,400"
3,Std,100,0,0.420,0.110,0.419,"112,640"
3,Std,150,0,0.400,0.110,0.486,"112,640"
4,Std,0,0,0.220,0.200,0.220,"204,800"
4,Std,50,0,0.680,0.070,0.933,"71,680"
4,Std,100,0,0.560,0.130,1.049,"133,120"
4,Std,150,0,0.580,0.140,0.419,"143,360"
5,Std,0,0,0.280,0.310,0.150,"317,440"
5,Std,50,0,0.320,0.420,0.643,"430,080"
5,Std,100,0,0.340,0.440,0.673,"450,560"
5,Std,150,0,0.480,0.460,0.365,"471,040"
6,Std,0,0,0.180,0.310,0.096,"317,440"
6,Std,50,0,0.320,0.720,0.663,"737,280"
6,Std,100,0,0.320,0.550,0.744,"563,200"
6,Std,150,0,0.220,0.440,0.561,"450,560"
7,Std,0,0,0.120,0.390,0.098,"399,360"
7,Std,50,0,0.180,0.710,0.452,"727,040"
7,Std,100,0,0.320,0.420,0.759,"430,080"
7,Std,150,0,0.330,0.510,0.493,"522,240"
1,10%CS,0,0,0.330,0.250,0.249,"256,000"
1,10%CS,50,0,0.370,0.440,0.190,"450,560"
1,10%CS,100,0,0.290,0.580,0.274,"593,920"
1,10%CS,150,0,0.260,0.450,0.278,"460,800"
2,10%CS,0,0,0.400,0.260,0.213,"266,240"
2,10%CS,50,0,0.450,0.370,0.143,"378,880"
2,10%CS,100,0,0.380,0.360,0.346,"368,640"
2,10%CS,150,0,0.370,0.370,0.688,"378,880"
3,10%CS,0,0,0.440,0.340,0.542,"348,160"
3,10%CS,50,0,0.600,0.380,0.087,"389,120"
3,10%CS,100,0,0.460,0.280,0.305,"286,720"
3,10%CS,150,0,0.420,0.240,0.548,"245,760"
4,10%CS,0,0,0.330,0.420,0.594,"430,080"
4,10%CS,50,0,0.410,0.460,0.882,"471,040"
4,10%CS,100,0,0.580,0.400,1.017,"409,600"
4,10%CS,150,0,0.550,0.380,0.624,"389,120"
5,10%CS,0,0,0.140,0.460,0.186,"471,040"
5,10%CS,50,0,0.290,0.620,0.332,"634,880"
5,10%CS,100,0,0.620,0.460,0.801,"471,040"
5,10%CS,150,0,0.430,0.420,0.505,"430,080"
6,10%CS,0,0,0.140,0.360,0.126,"368,640"
6,10%CS,50,0,0.180,0.440,0.551,"450,560"
6,10%CS,100,0,0.520,0.560,0.772,"573,440"
6,10%CS,150,0,0.100,0.550,0.629,"563,200"
7,10%CS,0,0,0.100,0.280,0.077,"286,720"
7,10%CS,50,0,0.150,0.280,0.536,"286,720"
7,10%CS,100,0,0.320,0.580,0.485,"593,920"
