Time_Point,Media Type,Flow Rate,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB,488nm_VF_FL
0,Std,0,0,0.077,0.07,0.066,"90,693"
0,Std,0,1,0.083,0.07,0.258,"330,632"
1,Std,0,0,0.075,0.069,0.061,"156,390"
1,Std,0,1,0.076,0.066,0.388,"171,240"
2,Std,0,0,0.41,0.326,0.678,"171,471"
2,Std,0,1,0.415,0.353,0.626,"118,749"
3,Std,0,0,0.355,0.331,0.392,"135,053"
3,Std,0,1,0.379,0.369,0.454,"141,672"
3.5,Std,0,0,0.629,0.088,0.081,0
3.5,Std,0,1,0.37,0.745,0.407,"160,576"
4,Std,0,0,0.408,0.059,0.059,0
4,Std,0,1,0.558,0.445,0.384,"386,302"
5,Std,0,0,0.408,0.056,0.059,0
5,Std,0,1,0.356,0.469,0.105,"330,518"
6,Std,0,0,0.167,0.055,0.058,0
6,Std,0,1,0.193,0.559,0.112,"120,897"
7,Std,0,1,0,0,0,"126,622"
0,Std,0,0,0.082,0.073,0.07,"16,768"
0,Std,0,1,0.084,0.071,0.242,"52,940"
1,Std,0,0,0.075,0.066,0.066,"39,993"
1,Std,0,1,0.078,0.069,0.415,"45,566"
2,Std,0,0,0.376,0.361,0.804,"393,467"
2,Std,0,1,0.383,0.319,0.647,"176,929"
3,Std,0,0,0.388,0.338,0.455,"156,609"
3,Std,0,1,0.394,0.329,0.41,"329,507"
3.5,Std,0,0,0,0.081,0.086,0
3.5,Std,0,1,0,0.714,0.379,"456,667"
4,Std,0,0,0,0.061,0.061,0
4,Std,0,1,0,0.448,0.321,"202,400"
5,Std,0,0,0,0.062,0.063,0
5,Std,0,1,0,0.433,0.111,"169,743"
6,Std,0,0,0,0.059,0.063,0
6,Std,0,1,0,0.493,0.099,"101,830"
7,Std,50,0,0.184,0.171,0.434,"255,145"
7,Std,50,1,0.16,0.164,0.39,"222,474"
7,Std,100,0,0.748,0.656,1.022,"210,837"
7,Std,100,1,0.457,0.398,0.494,"181,333"
7,Std,150,0,0.348,0.306,0.459,"180,417"
7,Std,150,1,0.684,0.486,0.532,"152,664"
0,Std,50,0,0.522,0.28,0.352,"398,157"
0,Std,50,1,0.39,0.212,0.258,"627,191"
0,Std,100,0,0.3,0.254,0.201,"280,748"
0,Std,100,1,0.118,0.104,0.101,"396,781"
0,Std,150,0,0.125,0.12,0.127,"162,944"
0,Std,150,1,0.161,0.145,0.153,"123,691"
1,Std,50,0,0.328,0.472,0.655,"679,865"
1,Std,50,1,0.315,0.423,0.671,"645,642"
1,Std,100,0,0.16,0.163,0.249,"445,028"
1,Std,100,1,0.311,0.258,0.273,"437,878"
1,Std,150,0,0.283,0.397,0.624,"237,971"
1,Std,150,1,0.257,0.417,0.525,"302,341"
2,Std,50,0,0.423,0.694,1.064,"550,559"
2,Std,50,1,0.407,0.409,0.666,"566,831"
2,Std,100,0,0.433,0.354,0.378,"398,330"
2,Std,100,1,0.158,0.158,0.322,"371,960"
2,Std,150,0,0.391,0.323,0.598,"241,678"
2,Std,150,1,0.404,0.338,0.67,"205,136"
3,Std,50,0,0.549,0.445,0.724,"819,174"
3,Std,50,1,0.499,0.404,0.575,"694,410"
3,Std,100,0,0.135,0.127,0.147,"536,368"
3,Std,100,1,0.414,0.356,0.384,"503,745"
3,Std,150,0,0.315,0.321,0.442,"309,781"
3,Std,150,1,0.325,0.355,0.536,"312,176"
3.5,Std,50,0,0.705,0.639,0.958,"798,008"
3.5,Std,50,1,0.678,0.675,1.056,"1,025,067"
3.5,Std,100,0,1.518,1.321,1.015,"566,378"
3.5,Std,100,1,0.144,0.121,0.161,"646,986"
3.5,Std,150,0,0.277,0.186,0.286,"438,492"
3.5,Std,150,1,0.24,0.451,0.496,"271,479"
4,Std,50,0,0.712,0.543,0.943,"1,068,978"
4,Std,50,1,0.64,0.519,0.967,"427,093"
4,Std,100,0,1.196,1.309,1.015,"678,917"
4,Std,100,1,1.255,0.986,1.161,"410,788"
4,Std,150,0,0.579,0.294,0.408,"297,498"
4,Std,150,1,0.494,0.443,0.503,"398,040"
5,Std,50,0,0.309,0.299,0.605,"272,062"
5,Std,50,1,0.319,0.288,0.459,"241,726"
5,Std,100,0,1.115,0.9,0.637,"250,174"
5,Std,100,1,0.853,0.615,0.738,"246,931"
5,Std,150,0,0.303,0.219,0.35,"230,546"
5,Std,150,1,0.572,0.395,0.377,"259,669"
6,Std,50,0,0.306,0.29,0.639,"209,687"
6,Std,50,1,0.279,0.26,0.412,"190,719"
6,Std,100,0,0.682,0.624,0.946,"221,488"
6,Std,100,1,0.564,0.528,0.767,"177,728"
6,Std,150,0,0.308,0.28,0.567,"240,349"
6,Std,150,1,0.556,0.422,0.596,"179,622"
7,Std,50,0,0.198,0.196,0.469,"224,848"
7,Std,50,1,0.173,0.156,0.383,"117,151"
7,Std,150,0,0.36,0.285,0.526,"190,695"
7,Std,150,1,0.684,0.504,0.53,"125,440"
0,Std,50,0,0.473,0.28,0.381,"346,005"
0,Std,50,1,0.36,0.192,0.252,"182,061"
0,Std,150,0,0.117,0.111,0.117,"265,264"
